上海商城酒店式公寓
美丽华花园,91.0,770.0,400.0,8200.0,34,52567,3室,20,2室,7,4室,5,6室,1
中远龙阳公寓,51.0,101.0,290.0,700.0,20,61081,1室,10,2室,8,3室,2,None,0
三金大厦(巴黎时韵),24.0,105.0,68.0,470.0,41,33371,2室,21,1室,19,3室,1,None,0
万富汇SOHO
金都苑,20.0,172.0,82.0,910.0,34,46119,2室,16,3室,13,4室,4,1室,1
四季沙龙公寓,45.0,238.0,83.0,386.0,20,17595,None,0,None,0,None,0,None,0
复旦软件园·智慧新天地
海悦滨江酒店式公寓
中环滨江大厦,28.0,225.0,74.0,1350.0,46,29202,1室,35,2室,6,4室,3,3室,2
天都国际,29.0,140.0,65.0,500.0,139,2,2室,100,3室,25,1室,14,None,0
尚都（申峰大厦）,38.0,213.0,260.0,1150.0,38,53245,1室,18,2室,12,3室,6,5室,2
展想悦廷,40.0,100.0,96.0,245.0,7,26444,None,0,None,0,None,0,None,0
瑞庭酒店公寓,38.0,89.0,44.0,180.0,51,13672,2室,43,1室,8,None,0,None,0
威伦酒店南外滩店（原赛元酒店公寓）
旭园,45.0,337.0,80.0,1890.0,17,2,2室,6,4室,4,3室,4,1室,2
帝景苑酒店服务式公寓
鸿发苑,65.0,300.0,405.0,1490.0,39,60857,2室,18,4室,9,3室,9,1室,2
雅诗阁（上海瑞苑酒店公寓）
宝利金新世纪大厦,36.0,125.0,90.0,262.0,8,24944,None,0,None,0,None,0,None,0
鸿艺豪苑,114.0,260.0,880.0,2500.0,54,80638,2室,24,4室,17,3室,13,None,0
东方时空公寓,45.0,86.0,300.0,620.0,32,68992,1室,22,2室,10,None,0,None,0
溧阳公馆（虹口世纪大酒店2号楼）
新华嘉利公寓,56.0,150.0,260.0,14000.0,29,61199,3室,24,2室,5,None,0,None,0
富_大厦,13.0,175.0,80.0,880.0,100,3,2室,65,3室,26,4室,7,1室,2
河滨国际公寓,32.0,96.0,159.0,620.0,29,58944,2室,25,1室,4,None,0,None,0
乐非天地,38.0,80.0,0.01,209.0,10,28070,None,0,None,0,None,0,None,0
黄兴广场,386.0,835.0,1800.0,2150.0,4,33096,None,0,None,0,None,0,None,0
虹桥路2388号产权国际公寓,68.0,68.0,208.0,208.0,1,2,2室,1,None,0,None,0,None,0
爱都公寓,30.0,285.0,75.0,1600.0,172,65299,3室,126,2室,23,4室,20,1室,2
上海外高桥徐汇俱乐部有限公司公寓式办公用房及配套商业设施建设项目
天赐公寓,23.0,560.0,60.0,2000.0,53,31321,2室,36,1室,14,3室,2,5室,1
恒升半岛国际中心二期
新凤城银座,55.0,153.0,300.0,1100.0,43,64674,2室,21,1室,18,3室,4,None,0
海珀府邸
东方星座,25.0,70.0,50.0,150.0,54,18161,2室,44,1室,10,None,0,None,0
古北爵仕花园
顺泰天然居商务宾馆,88.0,1100.0,500.0,6000.0,108,61325,3室,29,4室,27,5室,23,6室,16
西郊珑廷
名仕公馆（银亿茗悦公寓）
温莎公寓,25.0,150.0,70.0,530.0,25,34153,2室,12,3室,9,4室,2,1室,2
碧云居家商务酒店
新华阳光豪庭,107.0,284.0,350.0,1800.0,34,50960,3室,16,2室,13,4室,3,5室,2
由由酒店式公寓
比利华高级公寓
东方二_四六酒店公寓项目
凤凰赢家
外滩辉盛坊国际公寓
三湘未来海岸广场,20.0,252.0,62.0,1050.0,49,1,1室,29,2室,17,4室,2,3室,1
