华山丽苑,130,257,7000,45000,8,None,None,42679,4室,6,2室,1,3室,1,None,0
上海丽晶大厦,220,220,15000,19000,7,None,None,15035,3室,7,None,0,None,0,None,0
莎玛·徐家汇,110,143,15000,17000,3,None,None,None,3室,2,2室,1,None,0,None,0
徐汇御苑,80,1100,6000,16000,12,6400,9706,15012,2室,6,3室,6,None,0,None,0
碧云东壹栋,30,120,1890,6800,9,None,None,None,1室,8,3室,1,None,0,None,0
恒升半岛国际中心
嘉和美舍
汇峰鼎园,65,255,1200,20000,283,8001,10232,12573,2室,109,3室,104,1室,41,4室,28
美丽华花园,90,1500,8500,250000,13,None,10797,14902,2室,4,3室,4,10,2,6室,1
中远龙阳公寓,45,107,3000,8500,18,4853,5035,7182,1室,13,2室,4,2户,1,None,0
三金大厦(巴黎时韵),25,120,4200,9000,23,4853,8912,5400,1室,20,2室,3,None,0,None,0
万富汇SOHO
金都苑,16,190,3000,15000,21,None,8576,11053,3室,8,2室,6,4室,6,2户,1
四季沙龙公寓
禹洲金桥国际(蓝馆),9,330,450,11000,103,2718,4500,7389,1室,58,2室,29,3室,10,4室,3
复旦软件园·智慧新天地,65,151,6200,13000,2,None,None,None,1室,1,3室,1,None,0,None,0
海悦滨江酒店式公寓
中环滨江大厦,36,90,1600,8000,10,3216,3833,None,2室,5,1室,3,3室,1,2户,1
天都国际,50,88,5000,12000,14,None,None,None,1室,11,2室,3,None,0,None,0
尚都（申峰大厦）,50,70,5000,8000,10,5809,7371,5832,1室,10,None,0,None,0,None,0
展想悦廷,53,53,4500,4800,2,None,None,None,1室,2,None,0,None,0,None,0
瑞庭酒店公寓
威伦酒店南外滩店（原赛元酒店公寓）
旭园,70,260,2500,30000,16,None,None,None,2室,7,1室,3,3室,3,4室,2
帝景苑酒店服务式公寓,12,71,8000,8500,2,None,None,None,2室,1,1室,1,None,0,None,0
鸿发苑,58,160,6500,23000,37,6497,9278,12546,2室,21,1室,8,3室,8,None,0
雅诗阁（上海瑞苑酒店公寓）
